Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Country of Launch,Companys Country of Origin,Private or State Run,DateTime,Year,Month,Day,Date,Time
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",Minotaur IV | NROL-129,StatusActive,46.0 ,Success,USA,USA,P,2020-07-15 13:46:00+00:00,2020,07,15,15/07/2020,13:46
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3 ,Failure,China,China,S,2020-07-10 04:17:00+00:00,2020,07,10,10/07/2020,04:17
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/E | Apstar-6D,StatusActive,29.15 ,Success,China,China,S,2020-07-09 12:11:00+00:00,2020,07,09,09/07/2020,12:11
IAI,"Pad 1, Palmachim Airbase, Israel",Shavit-2 | Ofek-16,StatusActive,,Success,Israel,Isreal,S,2020-07-06 01:00:00+00:00,2020,07,06,06/07/2020,01:00
CASIC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Shiyan-6 02,StatusActive,29.75 ,Success,China,China,S,2020-07-04 23:44:00+00:00,2020,07,04,04/07/2020,23:44
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5 ,Failure,New Zealand,USA,P,2020-07-04 21:19:00+00:00,2020,07,04,04/07/2020,21:19
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68 ,Success,China,China,S,2020-07-03 03:10:00+00:00,2020,07,03,03/07/2020,03:10
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | GPS III SV03,StatusActive,50.0 ,Success,USA,USA,P,2020-06-30 20:10:00+00:00,2020,06,30,30/06/2020,20:10
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 G3,StatusActive,29.15 ,Success,China,China,S,2020-06-23 01:43:00+00:00,2020,06,23,23/06/2020,01:43
CASIC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75 ,Success,China,China,S,2020-06-17 07:19:00+00:00,2020,06,17,17/06/2020,07:19
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50.0 ,Success,USA,USA,P,2020-06-13 09:21:00+00:00,2020,06,13,13/06/2020,09:21
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Don't stop me now!,StatusActive,7.5 ,Success,New Zealand,USA,P,2020-06-13 05:12:00+00:00,2020,06,13,13/06/2020,05:12
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 2C | Haiyang-1D,StatusActive,30.8 ,Success,China,China,S,2020-06-10 18:31:00+00:00,2020,06,10,10/06/2020,18:31
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L7,StatusActive,50.0 ,Success,USA,USA,P,2020-06-04 01:25:00+00:00,2020,06,04,04/06/2020,01:25
CASIC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Gaofen-9-02 & HEAD-4,StatusActive,29.75 ,Success,China,China,S,2020-05-31 08:53:00+00:00,2020,05,31,31/05/2020,08:53
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | SpaceX Demo-2,StatusActive,50.0 ,Success,USA,USA,P,2020-05-30 19:22:00+00:00,2020,05,30,30/05/2020,19:22
CASIC,"Xichang Satellite Launch Center, China",Long March 11 | XJS-G and XJS-H,StatusActive,5.3 ,Success,China,China,S,2020-05-29 20:13:00+00:00,2020,05,29,29/05/2020,20:13
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",LauncherOne | Demo Flight,StatusActive,12.0 ,Failure,USA,USA,P,2020-05-25 19:50:00+00:00,2020,05,25,25/05/2020,19:50
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,,Success,Russia,Russia,S,2020-05-22 07:31:00+00:00,2020,05,22,22/05/2020,07:31
MHI,"LA-Y2, Tanegashima Space Center, Japan",H-IIB | HTV-9,StatusRetired,112.5 ,Success,Japan,Japan,P,2020-05-20 17:31:00+00:00,2020,05,20,20/05/2020,17:31
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 501 | OTV-6 (USSF-7),StatusActive,120.0 ,Success,USA,USA,P,2020-05-17 13:14:00+00:00,2020,05,17,17/05/2020,13:14
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,StatusActive,,Success,China,China,S,2020-05-12 01:16:00+00:00,2020,05,12,12/05/2020,01:16
CASIC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5B | Test Flight (New Crew Capsule),StatusActive,,Success,China,China,S,2020-05-05 10:00:00+00:00,2020,05,05,05/05/2020,10:00
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-14,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020-04-25 01:51:00+00:00,2020,04,25,25/04/2020,01:51
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L6,StatusActive,50.0 ,Success,USA,USA,P,2020-04-22 19:30:00+00:00,2020,04,22,22/04/2020,19:30
IRGC,"Launch Plateform, Shahrud Missile Test Site",Qased | Noor 1,StatusActive,,Success,Iran,Iran,S,2020-04-22 03:59:00+00:00,2020,04,22,22/04/2020,03:59
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Nusantara Dua,StatusActive,29.15 ,Failure,China,China,S,2020-04-09 11:46:00+00:00,2020,04,09,09/04/2020,11:46
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Soyuz MS-16,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2020-04-09 08:05:00+00:00,2020,04,09,09/04/2020,08:05
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 551 | AEHF 6,StatusActive,153.0 ,Success,USA,USA,P,2020-03-26 20:18:00+00:00,2020,03,26,26/03/2020,20:18
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Yaogan-30-06,StatusActive,30.8 ,Success,China,China,S,2020-03-24 03:43:00+00:00,2020,03,24,24/03/2020,03:43
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1b/Fregat | OneWeb #3,StatusActive,48.5 ,Success,Kazakhstan,Multi,P,2020-03-21 17:06:00+00:00,2020,03,21,21/03/2020,17:06
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Starlink V1 L5,StatusActive,50.0 ,Success,USA,USA,P,2020-03-18 12:16:00+00:00,2020,03,18,18/03/2020,12:16
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat-M | Cosmos 2545,StatusActive,,Success,Russia,Russia,S,2020-03-16 18:28:00+00:00,2020,03,16,16/03/2020,18:28
CASIC,"LC-201, Wenchang Satellite Launch Center, China",Long March 7A | XJY-6,StatusActive,,Failure,China,China,S,2020-03-16 13:34:00+00:00,2020,03,16,16/03/2020,13:34
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 G2,StatusActive,29.15 ,Success,China,China,S,2020-03-09 11:55:00+00:00,2020,03,09,09/03/2020,11:55
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-20,StatusActive,50.0 ,Success,USA,USA,P,2020-03-07 04:50:00+00:00,2020,03,07,07/03/2020,04:50
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Soyuz 2.1a/Fregat-M | Meridian-M n†­19L,StatusActive,48.5 ,Success,Russia,Russia,S,2020-02-20 08:24:00+00:00,2020,02,20,20/02/2020,08:24
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 2D | XJS-C to F,StatusActive,29.75 ,Success,China,China,S,2020-02-19 21:07:00+00:00,2020,02,19,19/02/2020,21:07
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B,StatusActive,200.0 ,Success,France,Multi,P,2020-02-18 22:18:00+00:00,2020,02,18,18/02/2020,22:18
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L4,StatusActive,50.0 ,Success,USA,USA,P,2020-02-17 15:05:00+00:00,2020,02,17,17/02/2020,15:05
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",Antares 230+ | CRS NG-13,StatusActive,85.0 ,Success,USA,USA,P,2020-02-15 20:21:00+00:00,2020,02,15,15/02/2020,20:21
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 411 | Solar Orbiter,StatusActive,115.0 ,Success,USA,USA,P,2020-02-10 04:03:00+00:00,2020,02,10,10/02/2020,04:03
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Simorgh | Zafar 1,StatusActive,,Failure,Iran,Isreal,S,2020-02-09 15:48:00+00:00,2020,02,09,09/02/2020,15:48
MHI,"LA-Y1, Tanegashima Space Center, Japan",H-IIA 202 | IGS-Optical 7,StatusActive,90.0 ,Success,Japan,Japan,P,2020-02-09 01:34:00+00:00,2020,02,09,09/02/2020,01:34
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1b/Fregat | OneWeb #2,StatusActive,48.5 ,Success,Kazakhstan,Multi,P,2020-02-06 21:42:00+00:00,2020,02,06,06/02/2020,21:42
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Birds of a Feather / NROL-151,StatusActive,7.5 ,Success,New Zealand,USA,P,2020-01-31 02:56:00+00:00,2020,01,31,31/01/2020,02:56
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L3,StatusActive,50.0 ,Success,USA,USA,P,2020-01-29 14:06:00+00:00,2020,01,29,29/01/2020,14:06
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,StatusActive,50.0 ,Success,USA,USA,P,2020-01-19 15:30:00+00:00,2020,01,19,19/01/2020,15:30
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,StatusActive,200.0 ,Success,France,Multi,P,2020-01-16 21:05:00+00:00,2020,01,16,16/01/2020,21:05
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Yinhe-1,StatusActive,,Success,China,China,S,2020-01-16 03:02:00+00:00,2020,01,16,16/01/2020,03:02
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,StatusActive,29.75 ,Success,China,China,S,2020-01-15 02:53:00+00:00,2020,01,15,15/01/2020,02:53
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | TJSW-5,StatusActive,29.15 ,Success,China,China,S,2020-01-07 15:20:00+00:00,2020,01,07,07/01/2020,15:20
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L2,StatusActive,50.0 ,Success,USA,USA,P,2020-01-07 02:19:00+00:00,2020,01,07,07/01/2020,02:19
CASIC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5 | Shijian-20,StatusActive,,Success,China,China,S,2019-12-27 12:45:00+00:00,2019,12,27,27/12/2019,12:45
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",StatusRetired,41.8 ,Success,Russia,Russia,S,2019-12-26 23:11:00+00:00,2019,12,26,26/12/2019,23:11
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/DM-3 | Elektro-L n†­3,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2019-12-24 12:03:00+00:00,2019,12,24,24/12/2019,12:03
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V N22 | Starliner OFT,StatusActive,,Success,USA,USA,P,2019-12-20 11:36:00+00:00,2019,12,20,20/12/2019,11:36
CASIC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | CBERS-4A, ETRSS-1 & Others",StatusActive,64.68 ,Success,China,China,S,2019-12-20 03:22:00+00:00,2019,12,20,20/12/2019,03:22
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",StatusActive,,Success,France,Multi,P,2019-12-18 08:54:00+00:00,2019,12,18,18/12/2019,08:54
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,50.0 ,Success,USA,USA,P,2019-12-17 00:10:00+00:00,2019,12,17,17/12/2019,00:10
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M19 & M20,StatusActive,,Success,China,China,S,2019-12-16 07:22:00+00:00,2019,12,16,16/12/2019,07:22
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",New Shepard | NS-12,StatusActive,,Success,USA,USA,P,2019-12-11 17:55:00+00:00,2019,12,11,11/12/2019,17:55
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",PSLV-QL | RISAT 2BR1,StatusActive,21.0 ,Success,India,India,S,2019-12-11 09:55:00+00:00,2019,12,11,11/12/2019,09:55
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat | Cosmos 2544,StatusActive,48.5 ,Success,Russia,Russia,S,2019-12-11 08:54:00+00:00,2019,12,11,11/12/2019,08:54
ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,StatusActive,,Success,China,China,S,2019-12-07 08:52:00+00:00,2019,12,07,07/12/2019,08:52
ExPace,"Taiyuan Satellite Launch Center, China",Kuaizhou 1A | Jilin-1 Gaofen-02B,StatusActive,,Success,China,China,S,2019-12-07 02:55:00+00:00,2019,12,07,07/12/2019,02:55
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-13 (74P),StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2019-12-06 09:34:00+00:00,2019,12,06,06/12/2019,09:34
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Running Out Of Fingers,StatusActive,7.5 ,Success,New Zealand,USA,P,2019-12-06 08:18:00+00:00,2019,12,06,06/12/2019,08:18
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-19,StatusActive,50.0 ,Success,USA,USA,P,2019-12-05 17:29:00+00:00,2019,12,05,05/12/2019,17:29
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4C | Gaofen-12,StatusActive,64.68 ,Success,China,China,S,2019-11-27 23:52:00+00:00,2019,11,27,27/11/2019,23:52
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",PSLV-XL | Cartosat-3 & Rideshares,StatusActive,31.0 ,Success,India,India,S,2019-11-27 03:58:00+00:00,2019,11,27,27/11/2019,03:58
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,StatusActive,200.0 ,Success,France,Multi,P,2019-11-26 21:23:00+00:00,2019,11,26,26/11/2019,21:23
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1v/Volga | Cosmos 2542 & 2543,StatusActive,,Success,Russia,Russia,S,2019-11-25 17:52:00+00:00,2019,11,25,25/11/2019,17:52
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M21 & M22,StatusActive,,Success,China,China,S,2019-11-23 00:55:00+00:00,2019,11,23,23/11/2019,00:55
ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Kuaizhou 1A | KL-Alpha A, KL-Alpha B",StatusActive,,Success,China,China,S,2019-11-17 10:00:00+00:00,2019,11,17,17/11/2019,10:00
CASIC,"LC-16, Taiyuan Satellite Launch Center, China",Long March 6 | Ningxia-1 (x5),StatusActive,,Success,China,China,S,2019-11-13 06:35:00+00:00,2019,11,13,13/11/2019,06:35
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Jilin 1-02A,StatusActive,,Success,China,China,S,2019-11-13 03:40:00+00:00,2019,11,13,13/11/2019,03:40
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L1,StatusActive,50.0 ,Success,USA,USA,P,2019-11-11 14:56:00+00:00,2019,11,11,11/11/2019,14:56
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 IGSO-3,StatusActive,29.15 ,Success,China,China,S,2019-11-04 17:43:00+00:00,2019,11,04,04/11/2019,17:43
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4B | Gaofen-7,StatusActive,64.68 ,Success,China,China,S,2019-11-03 03:22:00+00:00,2019,11,03,03/11/2019,03:22
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",Antares 230+ | CRS NG-12,StatusActive,85.0 ,Success,USA,USA,P,2019-11-02 13:59:00+00:00,2019,11,02,02/11/2019,13:59
Exos,"Vertical Launch Area, Spaceport America, New Mexico",SARGE | Launch 4,StatusActive,,Failure,USA,USA,P,2019-10-26 17:40:00+00:00,2019,10,26,26/10/2019,17:40
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/E | TJSW-4,StatusActive,29.15 ,Success,China,China,S,2019-10-17 15:21:00+00:00,2019,10,17,17/10/2019,15:21
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | As The Crow Flies,StatusActive,7.5 ,Success,New Zealand,USA,P,2019-10-17 01:22:00+00:00,2019,10,17,17/10/2019,01:22
Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",Pegasus XL | ICON,StatusActive,40.0 ,Success,USA,USA,P,2019-10-11 01:59:00+00:00,2019,10,11,11/10/2019,01:59
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,StatusActive,65.0 ,Success,Kazakhstan,USA,P,2019-10-09 10:17:00+00:00,2019,10,09,09/10/2019,10:17
CASIC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4C | Gaofen 10 (Replacement),StatusActive,64.68 ,Success,China,China,S,2019-10-04 18:51:00+00:00,2019,10,04,04/10/2019,18:51
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat | Cosmos 2541,StatusActive,48.5 ,Success,Russia,Russia,S,2019-09-26 07:46:00+00:00,2019,09,26,26/09/2019,07:46
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Soyuz FG | Soyuz MS-15 (61S),StatusRetired,,Success,Kazakhstan,Russia,S,2019-09-25 13:57:00+00:00,2019,09,25,25/09/2019,13:57
CASIC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Long March 2D | Yunhai-1-02,StatusActive,29.75 ,Success,China,China,S,2019-09-25 00:54:00+00:00,2019,09,25,25/09/2019,00:54
MHI,"LA-Y2, Tanegashima Space Center, Japan",H-IIB | HTV-8,StatusRetired,112.5 ,Success,Japan,Japan,P,2019-09-24 16:05:00+00:00,2019,09,24,24/09/2019,16:05
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M23 & M24,StatusActive,,Success,China,China,S,2019-09-22 21:10:00+00:00,2019,09,22,22/09/2019,21:10
CASIC,"Site 95, Jiuquan Satellite Launch Center, China",Long March 11 | Zhuhai-1 Group 03,StatusActive,5.3 ,Success,China,China,S,2019-09-19 06:42:00+00:00,2019,09,19,19/09/2019,06:42
CASIC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",StatusActive,64.68 ,Success,China,China,S,2019-09-12 03:26:00+00:00,2019,09,12,12/09/2019,03:26
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | KX-09 & Others,StatusActive,,Success,China,China,S,2019-08-30 23:41:00+00:00,2019,08,30,30/08/2019,23:41
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Rokot/Briz KM | Cosmos 2540,StatusRetired,41.8 ,Success,Russia,Russia,S,2019-08-30 14:00:00+00:00,2019,08,30,30/08/2019,14:00
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Safir-1B+ | Nahid-1,StatusActive,,Prelaunch Failure,Iran,Isreal,S,2019-08-29 00:00:00+00:00,2019,08,29,29/08/2019,00:00
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,164.0 ,Success,USA,USA,P,2019-08-22 13:06:00+00:00,2019,08,22,22/08/2019,13:06
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Soyuz MS-14 (60S),StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2019-08-22 03:38:00+00:00,2019,08,22,22/08/2019,03:38
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Electron/Curie | Look Ma, No Hands!",StatusActive,7.5 ,Success,New Zealand,USA,P,2019-08-19 12:12:00+00:00,2019,08,19,19/08/2019,12:12
CASIC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | ChinaSat 18,StatusActive,29.15 ,Success,China,China,S,2019-08-19 12:03:00+00:00,2019,08,19,19/08/2019,12:03
CASIC,"Site 95, Jiuquan Satellite Launch Center, China",Jielong-1 | Tianqi-4 & Others,StatusActive,7.5 ,Success,China,China,S,2019-08-17 04:11:00+00:00,2019,08,17,17/08/2019,04:11
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 551 | AEHF 5,StatusActive,153.0 ,Success,USA,USA,P,2019-08-08 10:13:00+00:00,2019,08,08,08/08/2019,10:13
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | AMOS-17,StatusActive,50.0 ,Success,USA,USA,P,2019-08-06 23:23:00+00:00,2019,08,06,06/08/2019,23:23
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39,StatusActive,200.0 ,Success,France,Multi,P,2019-08-06 19:30:00+00:00,2019,08,06,06/08/2019,19:30
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Cosmos 2539,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2019-08-05 21:56:00+00:00,2019,08,05,05/08/2019,21:56
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-12,StatusActive,48.5 ,Success,Kazakhstan,Russia,S,2019-07-31 12:10:00+00:00,2019,07,31,31/07/2019,12:10
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1a/Fregat-M | Meridian-M n†­18L,StatusActive,48.5 ,Success,Russia,Russia,S,2019-07-30 05:56:00+00:00,2019,07,30,30/07/2019,05:56
CASIC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Yaogan-30-05,StatusActive,30.8 ,Success,China,China,S,2019-07-26 03:57:00+00:00,2019,07,26,26/07/2019,03:57
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-18,StatusActive,50.0 ,Success,USA,USA,P,2019-07-25 22:01:00+00:00,2019,07,25,25/07/2019,22:01
i-Space,"Site 95, Jiuquan Satellite Launch Center, China",Hyperbola-1 | CAS-7B & Others,StatusActive,,Success,China,China,P,2019-07-25 05:00:00+00:00,2019,07,25,25/07/2019,05:00
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",GSLV Mk III | Chandrayaan-2 lunar mission,StatusActive,62.0 ,Success,India,India,S,2019-07-22 09:13:00+00:00,2019,07,22,22/07/2019,09:13
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Soyuz FG | Soyuz MS-13 (59S),StatusRetired,,Success,Kazakhstan,Russia,S,2019-07-20 16:28:00+00:00,2019,07,20,20/07/2019,16:28
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/DM-3 | Spektr-RG,StatusActive,65.0 ,Success,Kazakhstan,Russia,S,2019-07-13 12:31:00+00:00,2019,07,13,13/07/2019,12:31
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",Vega | Falcon Eye 1,StatusActive,37.0 ,Failure,France,Multi,P,2019-07-11 01:53:00+00:00,2019,07,11,11/07/2019,01:53
