L_Id,Date of Creation,Agent Category Assigned,Type of Request,Description of the Request,Location,Street Type,Region Type,Ward No,Estimated Date of Completion,Request Solution Category,Actual Date of Completion,Team Assigned,A_1,A_2,Problem Category
LM_113,02-12-2018 15:41,1,15,17,13,10023,0,30,03-12-2018 00:41,4,02-12-2018 17:21,30,2,2,1
LM_114,18-12-2018 04:56,1,14,22,13,10034,0,30,18-12-2018 13:56,7,18-12-2018 07:37,50,2,2,1
LM_115,26-12-2018 09:29,1,10,10,13,11354,0,16,26-12-2018 18:29,7,26-12-2018 10:42,31,3,3,1
LM_116,17-12-2018 08:52,1,3,41,13,11373,0,13,17-12-2018 17:52,8,17-12-2018 11:16,19,3,3,1
LM_117,04-12-2018 01:09,1,11,22,0,11207,0,7,04-12-2018 10:09,7,04-12-2018 03:56,17,1,1,1
LM_118,18-12-2018 00:25,1,11,6,12,10465,0,6,18-12-2018 09:25,7,18-12-2018 07:15,40,0,0,1
LM_119,11-12-2018 18:45,1,15,6,13,10040,0,30,12-12-2018 03:45,7,12-12-2018 12:51,50,2,2,1
LM_120,26-12-2018 13:06,1,10,34,13,11366,0,18,26-12-2018 22:06,8,26-12-2018 15:32,35,3,3,1
LM_121,15-09-2018 16:52,1,13,22,7,,4,31,16-09-2018 01:52,12,,0,5,5,0
LM_122,08-12-2018 16:52,1,2,31,13,11419,0,43,09-12-2018 01:52,4,08-12-2018 21:02,43,3,3,1
LM_123,20-12-2018 14:04,1,2,31,13,11436,0,23,20-12-2018 23:04,4,20-12-2018 17:45,51,3,3,1
LM_124,24-12-2018 04:16,1,2,27,13,11434,0,23,24-12-2018 13:16,7,24-12-2018 09:54,51,3,3,1
LM_125,26-12-2018 14:59,1,14,22,13,10457,0,6,26-12-2018 23:59,8,27-12-2018 01:34,20,0,0,1
LM_126,20-12-2018 17:32,1,10,34,13,11366,0,18,21-12-2018 02:32,8,20-12-2018 22:21,35,3,3,1
LM_127,30-12-2018 20:04,1,2,31,13,11378,0,27,31-12-2018 05:04,4,30-12-2018 23:10,23,3,3,1
LM_128,22-12-2018 15:17,1,2,27,13,11230,0,7,23-12-2018 00:17,2,22-12-2018 17:10,49,1,1,1
LM_129,23-12-2018 11:36,1,2,31,13,11209,0,7,23-12-2018 20:36,7,23-12-2018 17:15,41,1,1,1
LM_130,13-12-2018 20:34,1,0,26,10,10462,0,6,14-12-2018 05:34,7,14-12-2018 01:24,44,0,0,1
LM_131,24-12-2018 02:05,1,14,22,13,10032,3,30,24-12-2018 11:05,8,24-12-2018 10:03,3,2,2,1
LM_132,11-12-2018 13:19,1,20,20,12,10013,0,30,11-12-2018 22:19,7,11-12-2018 15:54,3,2,2,1
LM_133,11-12-2018 18:30,1,3,41,13,11429,2,35,12-12-2018 03:30,8,11-12-2018 20:02,53,3,3,1
LM_134,08-12-2018 23:11,1,2,27,13,10452,0,6,09-12-2018 08:11,8,10-12-2018 04:05,16,0,0,1
LM_135,15-12-2018 21:42,1,14,23,13,11232,0,7,16-12-2018 06:42,8,16-12-2018 09:26,29,1,1,1
LM_136,09-12-2018 16:10,1,2,27,13,11355,0,16,10-12-2018 01:10,7,10-12-2018 01:21,31,3,3,1
LM_137,12-12-2018 17:03,1,10,34,13,11101,0,26,13-12-2018 02:03,5,12-12-2018 19:13,9,3,3,1
LM_138,08-12-2018 19:55,1,3,41,13,11217,0,7,09-12-2018 04:55,9,09-12-2018 04:44,25,1,1,1
LM_139,01-12-2018 18:02,1,2,27,13,11217,0,7,02-12-2018 03:02,8,01-12-2018 21:07,25,1,1,1
LM_140,02-12-2018 02:06,1,11,23,0,11415,0,24,02-12-2018 11:06,6,02-12-2018 05:43,39,3,3,1
LM_141,12-12-2018 05:25,1,2,27,13,11204,0,7,12-12-2018 14:25,2,12-12-2018 06:51,45,1,1,1
LM_142,16-12-2018 08:57,1,2,27,13,11102,0,1,16-12-2018 17:57,2,16-12-2018 15:30,4,3,3,1
LM_143,08-06-2018 23:15,1,14,22,13,,4,31,09-06-2018 08:15,12,,0,5,5,2
LM_144,13-12-2018 18:47,1,14,22,13,,4,31,14-12-2018 03:47,12,,0,5,5,2
LM_145,04-12-2018 02:49,1,14,22,13,11378,0,27,04-12-2018 11:49,7,04-12-2018 05:03,23,3,3,1
LM_146,30-11-2018 16:01,1,10,34,13,11417,1,33,01-12-2018 01:01,8,30-11-2018 20:46,43,3,3,1
LM_147,20-12-2018 10:15,1,0,26,10,11375,0,17,20-12-2018 19:15,6,20-12-2018 12:46,27,3,3,1
LM_148,17-12-2018 07:40,1,15,17,13,11385,0,38,17-12-2018 16:40,7,17-12-2018 17:44,23,3,3,1
LM_149,25-12-2018 12:12,1,2,31,13,11367,0,16,25-12-2018 21:12,2,25-12-2018 14:36,35,3,3,1
LM_150,13-10-2018 15:09,1,3,41,13,,4,31,14-10-2018 00:09,12,,0,5,5,2
LM_151,12-12-2018 17:56,1,3,41,13,10302,0,45,13-12-2018 02:56,8,12-12-2018 19:40,5,4,4,1
LM_152,14-12-2018 00:53,1,11,22,12,10034,0,30,14-12-2018 09:53,8,14-12-2018 04:44,50,2,2,1
LM_153,04-12-2018 10:41,1,2,27,13,11105,0,1,04-12-2018 19:41,4,04-12-2018 14:28,4,3,3,1
LM_154,11-12-2018 11:54,1,3,41,13,11414,0,21,11-12-2018 20:54,10,11-12-2018 16:19,43,3,3,1
LM_155,16-12-2018 11:28,1,2,27,13,11218,0,7,16-12-2018 20:28,4,16-12-2018 16:07,49,1,1,1
LM_156,13-12-2018 21:44,1,2,27,13,11204,0,7,14-12-2018 06:44,10,14-12-2018 02:14,45,1,1,1
LM_157,19-12-2018 20:58,1,11,22,12,11208,0,7,20-12-2018 05:58,8,20-12-2018 00:46,21,1,1,1
LM_158,14-12-2018 14:03,1,11,1,12,10009,0,30,14-12-2018 23:03,8,14-12-2018 16:16,26,2,2,1
LM_159,05-12-2018 22:50,1,11,22,12,11385,0,38,06-12-2018 07:50,6,06-12-2018 00:48,23,3,3,1
LM_160,25-05-2018 22:47,1,11,6,12,,4,31,26-05-2018 07:47,12,,0,5,5,2
LM_161,29-12-2018 14:00,1,10,3,13,11418,0,37,29-12-2018 23:00,4,29-12-2018 17:43,39,3,3,1
LM_162,15-12-2018 00:21,1,10,10,13,11224,1,7,15-12-2018 09:21,6,15-12-2018 04:28,52,1,1,1
LM_163,11-12-2018 22:36,1,2,27,13,11207,0,7,12-12-2018 07:36,10,12-12-2018 04:12,21,1,1,1
LM_164,27-12-2018 22:50,1,2,27,13,11375,0,17,28-12-2018 07:50,4,28-12-2018 01:27,27,3,3,1
LM_165,11-12-2018 11:26,1,11,22,0,11385,0,38,11-12-2018 20:26,10,11-12-2018 13:34,23,3,3,1
LM_166,10-12-2018 13:14,1,3,41,13,11103,0,1,10-12-2018 22:14,4,11-12-2018 12:30,4,3,3,1
LM_167,27-12-2018 09:56,1,8,25,13,10001,1,30,27-12-2018 18:56,7,27-12-2018 12:12,18,2,2,1
LM_168,26-12-2018 03:58,1,11,22,0,10028,2,30,26-12-2018 12:58,8,26-12-2018 07:01,34,2,2,1
LM_169,02-12-2018 12:42,1,3,41,13,11220,0,7,02-12-2018 21:42,2,02-12-2018 14:53,49,1,1,1
LM_170,04-12-2018 12:53,1,10,2,13,10019,0,30,04-12-2018 21:53,7,04-12-2018 19:05,18,2,2,1
LM_171,12-12-2018 19:52,1,15,5,13,10065,2,30,13-12-2018 04:52,10,13-12-2018 00:42,34,2,2,1
LM_172,10-12-2018 01:05,1,11,22,12,10009,0,30,10-12-2018 10:05,7,10-12-2018 02:19,13,2,2,1
LM_173,02-12-2018 02:33,1,10,2,13,10468,0,6,02-12-2018 11:33,6,02-12-2018 06:44,28,0,0,1
LM_174,15-12-2018 06:07,1,2,27,13,11233,0,7,15-12-2018 15:07,4,15-12-2018 08:31,12,1,1,1
LM_175,14-12-2018 22:52,1,10,3,13,10032,0,30,15-12-2018 07:52,2,15-12-2018 00:29,50,2,2,1
LM_176,14-12-2018 18:04,1,2,31,13,11106,0,1,15-12-2018 03:04,2,14-12-2018 22:25,4,3,3,1
LM_177,09-12-2018 02:03,1,14,23,13,11235,0,7,09-12-2018 11:03,4,09-12-2018 12:24,52,1,1,1
LM_178,18-06-2018 01:37,1,14,23,13,,4,31,18-06-2018 10:37,12,,0,5,5,2
LM_179,10-12-2018 02:14,1,11,22,0,10036,0,30,10-12-2018 11:14,7,10-12-2018 04:15,18,2,2,1
LM_180,25-07-2018 03:07,1,14,22,13,,4,31,25-07-2018 12:07,12,,0,5,5,0
LM_181,16-12-2018 01:09,1,2,31,13,11220,0,7,16-12-2018 10:09,4,16-12-2018 03:17,49,1,1,1
LM_182,10-12-2018 10:51,1,2,27,13,11104,0,46,10-12-2018 19:51,2,10-12-2018 16:55,9,3,3,1
LM_183,14-12-2018 12:15,1,2,27,13,11355,0,16,14-12-2018 21:15,8,14-12-2018 19:30,31,3,3,1
LM_184,28-12-2018 07:33,1,2,27,13,11368,0,11,28-12-2018 16:33,7,28-12-2018 10:18,14,3,3,1
LM_185,30-12-2018 01:41,1,10,3,13,11420,0,42,30-12-2018 10:41,7,30-12-2018 10:26,43,3,3,1
LM_186,30-11-2018 19:03,1,2,31,13,11374,0,36,01-12-2018 04:03,2,01-12-2018 00:42,27,3,3,1
LM_187,21-12-2018 01:45,1,11,23,12,10010,0,30,21-12-2018 10:45,8,21-12-2018 04:07,26,2,2,1
LM_188,13-12-2018 10:53,1,2,31,13,11355,0,16,13-12-2018 19:53,7,13-12-2018 18:16,31,3,3,1
LM_189,11-12-2018 11:55,1,10,15,13,11234,0,7,11-12-2018 20:55,7,11-12-2018 13:09,59,1,1,1
LM_190,23-12-2018 13:29,1,2,31,13,11432,0,23,23-12-2018 22:29,6,23-12-2018 17:57,51,3,3,1
LM_191,27-12-2018 22:12,1,10,2,13,11370,0,12,28-12-2018 07:12,4,28-12-2018 03:02,14,3,3,1
LM_192,05-12-2018 12:00,1,14,22,13,,4,31,05-12-2018 21:00,12,,0,5,5,2
LM_193,17-12-2018 17:57,1,2,27,13,11210,0,7,18-12-2018 02:57,4,17-12-2018 22:19,58,1,1,1
LM_194,15-12-2018 08:30,1,15,5,13,11215,2,7,15-12-2018 17:30,4,15-12-2018 10:52,29,1,1,1
LM_195,03-12-2018 19:59,1,2,27,13,11374,0,36,04-12-2018 04:59,6,04-12-2018 01:17,27,3,3,1
LM_196,30-12-2018 21:48,1,2,27,13,10469,0,6,31-12-2018 06:48,7,30-12-2018 23:55,44,0,0,1
LM_197,03-12-2018 21:12,1,11,22,12,10028,0,30,04-12-2018 06:12,10,04-12-2018 00:43,34,2,2,1
LM_198,26-12-2018 12:59,1,10,34,13,11366,0,18,26-12-2018 21:59,8,26-12-2018 15:32,35,3,3,1
LM_199,15-11-2018 19:32,1,2,27,13,,4,31,16-11-2018 04:32,13,,0,5,5,2
LM_200,18-12-2018 19:56,1,10,10,13,11229,2,7,19-12-2018 04:56,4,19-12-2018 05:10,56,1,1,1
LM_201,09-12-2018 17:08,1,10,34,13,10314,0,45,10-12-2018 02:08,4,09-12-2018 21:22,10,4,4,1
LM_202,06-12-2018 00:28,1,14,22,13,11217,2,7,06-12-2018 09:28,8,06-12-2018 05:53,7,1,1,1
LM_203,14-12-2018 09:34,1,2,27,13,11229,0,7,14-12-2018 18:34,4,15-12-2018 15:17,56,1,1,1
LM_204,22-12-2018 22:38,1,10,10,13,11418,0,37,23-12-2018 07:38,11,23-12-2018 07:03,39,3,3,1
LM_205,15-12-2018 06:41,1,2,27,13,10456,0,6,15-12-2018 15:41,4,15-12-2018 12:49,16,0,0,1
LM_206,12-12-2018 02:51,1,11,22,12,10009,0,30,12-12-2018 11:51,6,12-12-2018 04:14,13,2,2,1
LM_207,03-12-2018 03:31,1,11,22,12,11206,0,7,03-12-2018 12:31,6,03-12-2018 06:08,2,1,1,1
LM_208,04-12-2018 20:32,1,2,27,13,11385,0,38,05-12-2018 05:32,4,04-12-2018 22:30,23,3,3,1
LM_209,05-12-2018 21:33,1,10,15,13,10025,2,30,06-12-2018 06:33,4,06-12-2018 00:29,30,2,2,1
LM_210,20-04-2018 22:00,1,10,10,13,,4,31,21-04-2018 07:00,12,,0,5,5,2
LM_211,18-12-2018 00:42,1,11,22,0,11220,2,7,18-12-2018 09:42,7,18-12-2018 09:26,29,1,1,1
LM_212,29-12-2018 14:30,1,3,41,13,11235,0,7,29-12-2018 23:30,10,29-12-2018 18:48,56,1,1,1
LM_213,15-12-2018 07:40,1,0,35,13,10017,2,30,15-12-2018 16:40,8,15-12-2018 23:53,22,2,2,1
LM_214,30-11-2018 18:44,1,10,2,13,11365,0,18,01-12-2018 03:44,4,01-12-2018 00:27,47,3,3,1
LM_215,29-12-2018 19:12,1,11,22,12,11206,0,7,30-12-2018 04:12,6,29-12-2018 23:40,2,1,1,1
LM_216,20-12-2018 16:21,1,10,3,13,11378,0,27,21-12-2018 01:21,4,21-12-2018 01:49,23,3,3,1
LM_217,07-12-2018 15:09,1,10,34,13,11691,2,14,08-12-2018 00:09,4,07-12-2018 19:02,55,3,3,1
LM_218,13-12-2018 18:18,1,3,41,13,10461,0,6,14-12-2018 03:18,8,14-12-2018 06:52,40,0,0,1
LM_219,29-12-2018 22:12,1,10,2,13,11215,0,7,30-12-2018 07:12,8,30-12-2018 06:20,29,1,1,1
LM_220,26-12-2018 00:02,1,10,34,13,10452,2,6,26-12-2018 09:02,4,27-12-2018 05:51,16,0,0,1
LM_221,14-12-2018 15:40,1,2,31,13,11219,0,7,15-12-2018 00:40,6,14-12-2018 18:22,49,1,1,1
LM_222,01-12-2018 18:22,1,11,23,12,10036,0,30,02-12-2018 03:22,8,01-12-2018 19:59,18,2,2,1
LM_223,03-12-2018 21:24,1,14,23,13,11209,0,7,04-12-2018 06:24,4,03-12-2018 23:34,41,1,1,1
